YEAR,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,EMISSIONS,COMB (km/L),CITY (km/L),HWY (km/L)
2000,ACURA,1.6EL,COMPACT,1.6,4,A4,X,186,12.345679012345679,10.869565217391305,14.925373134328359
2000,ACURA,1.6EL,COMPACT,1.6,4,M5,X,175,13.157894736842106,11.764705882352942,15.384615384615385
2000,ACURA,3.2TL,MID-SIZE,3.2,6,AS5,Z,230,10.0,8.196721311475411,13.513513513513512
2000,ACURA,3.5RL,MID-SIZE,3.5,6,A4,Z,264,8.695652173913043,7.462686567164179,10.869565217391305
2000,ACURA,INTEGRA,SUBCOMPACT,1.8,4,A4,X,198,11.627906976744187,10.0,14.285714285714286
2000,ACURA,INTEGRA,SUBCOMPACT,1.8,4,M5,X,189,12.195121951219512,10.75268817204301,14.705882352941178
2000,ACURA,INTEGRA GSR/TYPE R,SUBCOMPACT,1.8,4,M5,Z,191,12.048192771084336,10.638297872340425,14.285714285714286
2000,ACURA,NSX,SUBCOMPACT,3.0,6,AS4,Z,267,8.620689655172415,7.352941176470589,10.869565217391305
2000,ACURA,NSX,SUBCOMPACT,3.2,6,M6,Z,269,8.547008547008547,7.246376811594202,10.989010989010989
2000,AUDI,A4,COMPACT,1.8,4,A5,Z,218,10.526315789473685,8.771929824561402,13.88888888888889
2000,AUDI,A4,COMPACT,1.8,4,M5,Z,193,11.904761904761905,10.309278350515465,14.705882352941178
2000,AUDI,A4,COMPACT,2.8,6,A5,Z,248,9.25925925925926,7.6923076923076925,12.195121951219512
2000,AUDI,A4,COMPACT,2.8,6,M5,Z,225,10.204081632653061,8.547008547008547,13.333333333333334
2000,AUDI,A4 QUATTRO,COMPACT,1.8,4,A5,Z,232,9.900990099009901,8.264462809917356,12.987012987012987
2000,AUDI,A4 QUATTRO,COMPACT,1.8,4,M5,Z,214,10.75268817204301,9.345794392523365,13.333333333333334
2000,AUDI,A4 QUATTRO,COMPACT,2.8,6,A5,Z,255,9.00900900900901,7.518796992481203,11.764705882352942
2000,AUDI,A4 QUATTRO,COMPACT,2.8,6,M5,Z,251,9.174311926605505,7.874015748031496,11.49425287356322
